"Table","Type","Column","DataType","Size","Nullable","Auto","Default","Comments"
"SEGM","Table","SEGM_NAME","VARCHAR","100","√","","null","Name of the segment/fault"
"SEGM","Table","SEGM_RAKE","FLOAT","12","√","","null","Segment Rake (deg)"
"SEGM","Table","SEGM_STRIKE","FLOAT","12","√","","null","Segment Strike (deg)"
"SEGM","Table","SEGM_WIDTH","FLOAT","12","√","","null","Segment Width (km)"
"SITC","Table","SITC_COM","VARCHAR","1000","√","","null","Comment to Site"
"SITC","Table","SITC_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the SITC table"
"SITE","Table","SITE_GEOL","VARCHAR","1000","√","","null","Description of surface geology. If available, indicate geology unit(s)."
"SITE","Table","SITE_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the SITE table"
"TEST","Table","SITE_ID","INT UNSIGNED","10","√","","null",""
"SITF","Table","SITE_ID","INT UNSIGNED","10","√","","null",""
"SITP","Table","SITE_ID","INT UNSIGNED","10","√","","null",""
"TESI","Table","SITE_ID","INT UNSIGNED","10","√","","null",""
"SITC","Table","SITE_ID","INT UNSIGNED","10","√","","null",""
"SITM","Table","SITE_ID","INT UNSIGNED","10","√","","null",""
"FLDO","Table","SITE_ID","INT UNSIGNED","10","√","","null",""
"SITR","Table","SITE_ID","INT UNSIGNED","10","√","","null",""
"SITE","Table","SITE_LAB","TINYINT","3","√","","null",""
"SITE","Table","SITE_LAT","DOUBLE","22","√","","null","Latitude of the site (e.g., center of the site) in decimal degree following WGS84 system"
"SITE","Table","SITE_LON","DOUBLE","22","√","","null","Longitude of the site (e.g., center of the site) in decimal degree following WGS84 system"
"SITE","Table","SITE_NAME","VARCHAR","1000","√","","null","Site name"
"SITE","Table","SITE_REM","VARCHAR","1000","√","","null","Remarks"
"SITE","Table","SITE_REVW","TINYINT","3","√","","null","Review status (1 = reviewed / 0 = not reviewed)"
"SITE","Table","SITE_STAT","TINYINT","3","√","","null","Upload status (1 = submitted / 0 = not submitted)"
"SITF","Table","SITF_DESC","VARCHAR","1000","√","","null","Description of the associated file (e.g., site plan, cross-sectional map, Google Earth KML/KMZ, GIS file)."
"SITF","Table","SITF_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the SITF table"
"CRES","Table","SITM_ID","INT UNSIGNED","10","√","","null",""
"SITM","Table","SITM_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the SITM table"
"SITP","Table","SITP_ID","INT UNSIGNED","10","","√","null",""
"SITR","Table","SITR_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the SITR table"
"SPEC","Table","SPEC_BASE","FLOAT","12","√","","null","Depth to the bottom of specimen from the surface of borehole in m"
"SPEC","Table","SPEC_CREW","VARCHAR","100","√","","null","Name of testing technician and organization"
"PLAS","Table","SPEC_ID","INT UNSIGNED","10","√","","null",""
"RDEN","Table","SPEC_ID","INT UNSIGNED","10","√","","null",""
"GRAG","Table","SPEC_ID","INT UNSIGNED","10","√","","null",""
"CONG","Table","SPEC_ID","INT UNSIGNED","10","√","","null","Unique ID for the table SPEC"
"OTHR","Table","SPEC_ID","INT UNSIGNED","10","√","","null",""
"INDX","Table","SPEC_ID","INT UNSIGNED","10","√","","null",""
"DSSG","Table","SPEC_ID","INT UNSIGNED","10","√","","null",""
"TXG","Table","SPEC_ID","INT UNSIGNED","10","√","","null",""
"SPEC","Table","SPEC_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the SPEC table"
"SPEC","Table","SPEC_REF","VARCHAR","64","√","","null","Reference name specified for a specimen within a sample"
"SPEC","Table","SPEC_REM","VARCHAR","1000","√","","null","Remarks"
"SPEC","Table","SPEC_TOP","FLOAT","12","√","","null","Depth to the top of specimen from the surface of borehole in m"
"phinxlog","Table","start_time","TIMESTAMP","19","√","","null",""
"STAT","Table","STAT_DEPTH","FLOAT","12","√","","null","Sensor Depth"
"STAT","Table","STAT_ELE","FLOAT","12","√","","null","Station Elevation in m"
"STAT","Table","STAT_GEOL","VARCHAR","100","√","","null","Geology Description"
"STAT","Table","STAT_HOUSE","VARCHAR","6","√","","null","Station Housing (GMX’s C1)"
"IM","Table","STAT_ID","INT UNSIGNED","10","√","","null",""
"STAT","Table","STAT_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the STAT table"
"STAT","Table","STAT_IDNGA","VARCHAR","100","√","","null","Station ID as reported in NGA projects (if available)"
"STAT","Table","STAT_LAT","DOUBLE","22","√","","null","Station Latitude in WGS84"
"STAT","Table","STAT_LON","DOUBLE","22","√","","null","Station Longitude in WGS84"
"STAT","Table","STAT_NAME","VARCHAR","100","√","","null","Station Name"
"STAT","Table","STAT_NEHRP","VARCHAR","2","√","","null","Preferred NEHRP category based on Vs30"
"STAT","Table","STAT_NET","VARCHAR","100","√","","null","Station Network"
"STAT","Table","STAT_REG","VARCHAR","100","√","","null","Station Region"
"STAT","Table","STAT_SEQN","INT","10","√","","null","Station Sequence Number"
"STAT","Table","STAT_SIGVS30","FLOAT","12","√","","null","Sigma of preferred Vs30 (in natural log Units)"
"STAT","Table","STAT_VS30","FLOAT","12","√","","null","Vs30 (m/s) for analysis"
"STRA","Table","STRA_BASE","FLOAT","12","√","","null","Depth to the bottom of layer in m"
"STRA","Table","STRA_COL","VARCHAR","20","√","","null","Soil color code for the layer according to the Muncell color system (e.g., 10YR 2/1)"
"STRA","Table","STRA_DESC","VARCHAR","1000","√","","null","General geologic and soil description for the layer"
"STRA","Table","STRA_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the STRA table"
"STRA","Table","STRA_TOP","FLOAT","12","√","","null","Depth to the top of layer in m"
"STRA","Table","STRA_USCS","VARCHAR","10","√","","null","USCS soil classification code for the layer (e.g., SC, ML by USCS)"
"SWVD","Table","SWVD_BTTM","FLOAT","12","√","","null","Depth bottom of a layer from inversion analysis in m"
"SWVD","Table","SWVD_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the SWVD table"
"SWVD","Table","SWVD_RHO","FLOAT","12","√","","null","Mass density in g/cm3"
"SWVD","Table","SWVD_TOP","FLOAT","12","√","","null","Depth top of a layer from inversion analysis in m"
"SWVD","Table","SWVD_VP","FLOAT","12","√","","null","P-wave velocity in m/s"
"SWVD","Table","SWVD_VS","FLOAT","12","√","","null","Shear wave velocity in m/s"
"SWVG","Table","SWVG_DESC","VARCHAR","1000","√","","null","Description of the VS/VP profile"
"SWVG","Table","SWVG_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the SWVG table"
"SWVD","Table","SWVG_ID","INT UNSIGNED","10","√","","null",""
"SWVG","Table","SWVG_NAME","VARCHAR","64","√","","null","Name of the VS/VP profile"
"IM","Table","T0_010S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.01 s (g)"
"IM","Table","T0_020S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.02 s (g)"
"IM","Table","T0_022S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.022 s (g)"
"IM","Table","T0_025S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.025 s (g)"
"IM","Table","T0_029S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.029 s (g)"
"IM","Table","T0_030S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.030 s (g)"
"IM","Table","T0_032S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.032 s (g)"
"IM","Table","T0_035S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.035 s (g)"
"IM","Table","T0_036S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.036 s (g)"
"IM","Table","T0_040S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.040 s (g)"
"IM","Table","T0_042S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.042 s (g)"
"IM","Table","T0_044S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.044 s (g)"
"IM","Table","T0_045S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.045 s (g)"
"IM","Table","T0_046S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.046 s (g)"
"IM","Table","T0_048S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.048 s (g)"
"IM","Table","T0_050S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.050 s (g)"
"IM","Table","T0_055S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.055 s (g)"
"IM","Table","T0_060S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.060 s (g)"
"IM","Table","T0_065S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.065 s (g)"
"IM","Table","T0_067S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.067 s (g)"
"IM","Table","T0_070S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.070 s (g)"
"IM","Table","T0_075S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.075 s (g)"
"IM","Table","T0_080S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.080 s (g)"
"IM","Table","T0_085S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.085 s (g)"
"IM","Table","T0_090S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.090 s (g)"
"IM","Table","T0_095S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.095 s (g)"
"IM","Table","T0_100S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.100 s (g)"
"IM","Table","T0_110S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.110 s (g)"
"IM","Table","T0_120S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.120 s (g)"
"IM","Table","T0_130S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.130 s (g)"
"IM","Table","T0_133S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.133 s (g)"
"IM","Table","T0_140S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.140 s (g)"
"IM","Table","T0_150S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.150 s (g)"
"IM","Table","T0_160S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.160 s (g)"
"IM","Table","T0_170S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.170 s (g)"
"IM","Table","T0_180S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.180 s (g)"
"IM","Table","T0_190S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.190 s (g)"
"IM","Table","T0_200S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.200 s (g)"
"IM","Table","T0_220S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.220 s (g)"
"IM","Table","T0_240S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.240 s (g)"
"IM","Table","T0_250S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.250 s (g)"
"IM","Table","T0_260S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.260 s (g)"
"IM","Table","T0_280S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.280 s (g)"
"IM","Table","T0_290S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.290 s (g)"
"IM","Table","T0_300S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.300 s (g)"
"IM","Table","T0_320S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.320 s (g)"
"IM","Table","T0_340S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.340 s (g)"
"IM","Table","T0_350S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.350 s (g)"
"IM","Table","T0_360S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.360 s (g)"
"IM","Table","T0_380S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.380 s (g)"
"IM","Table","T0_400S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.400 s (g)"
"IM","Table","T0_420S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.420 s (g)"
"IM","Table","T0_440S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.440 s (g)"
"IM","Table","T0_450S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.450 s (g)"
"IM","Table","T0_460S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.460 s (g)"
"IM","Table","T0_480S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.480 s (g)"
"IM","Table","T0_500S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.500 s (g)"
"IM","Table","T0_550S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.550 s (g)"
"IM","Table","T0_600S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.600 s (g)"
"IM","Table","T0_650S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.650 s (g)"
"IM","Table","T0_667S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.667 s (g)"
"IM","Table","T0_700S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.700 s (g)"
"IM","Table","T0_750S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.750 s (g)"
"IM","Table","T0_800S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.800 s (g)"
"IM","Table","T0_850S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.850 s (g)"
"IM","Table","T0_900S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.900 s (g)"
"IM","Table","T0_950S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=0.950 s (g)"
"IM","Table","T10_000S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=10.000 s (g)"
"IM","Table","T11_000S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=11.000 s (g)"
"IM","Table","T12_000S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=12.000 s (g)"
"IM","Table","T13_000S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=13.000 s (g)"
"IM","Table","T14_000S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=14.000 s (g)"
"IM","Table","T15_000S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=15.000 s (g)"
"IM","Table","T1_000S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=1.000 s (g)"
"IM","Table","T1_100S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=1.100 s (g)"
"IM","Table","T1_200S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=1.200 s (g)"
"IM","Table","T1_300S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=1.300 s (g)"
"IM","Table","T1_400S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=1.400 s (g)"
"IM","Table","T1_500S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=1.500 s (g)"
"IM","Table","T1_600S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=1.600 s (g)"
"IM","Table","T1_700S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=1.700 s (g)"
"IM","Table","T1_800S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=1.800 s (g)"
"IM","Table","T1_900S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=1.900 s (g)"
"IM","Table","T20_000S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=20.000 s (g)"
"IM","Table","T2_000S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=2.000 s (g)"
"IM","Table","T2_200S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=2.200 s (g)"
"IM","Table","T2_400S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=2.400 s (g)"
"IM","Table","T2_500S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=2.500 s (g)"
"IM","Table","T2_600S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=2.600 s (g)"
"IM","Table","T2_800S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=2.800 s (g)"
"IM","Table","T3_000S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=3.000 s (g)"
"IM","Table","T3_200S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=3.200 s (g)"
"IM","Table","T3_400S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=3.400 s (g)"
"IM","Table","T3_500S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=3.500 s (g)"
"IM","Table","T3_600S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=3.600 s (g)"
"IM","Table","T3_800S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=3.800 s (g)"
"IM","Table","T4_000S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=4.000 s (g)"
"IM","Table","T4_200S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=4.200 s (g)"
"IM","Table","T4_400S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=4.400 s (g)"
"IM","Table","T4_600S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=4.600 s (g)"
"IM","Table","T4_800S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=4.800 s (g)"
"IM","Table","T5_000S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=5.000 s (g)"
"IM","Table","T5_500S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=5.500 s (g)"
"IM","Table","T6_000S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=6.000 s (g)"
"IM","Table","T6_500S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=6.500 s (g)"
"IM","Table","T7_000S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=7.000 s (g)"
"IM","Table","T7_500S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=7.500 s (g)"
"IM","Table","T8_000S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=8.000 s (g)"
"IM","Table","T8_500S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=8.500 s (g)"
"IM","Table","T9_000S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=9.000 s (g)"
"IM","Table","T9_500S","FLOAT","12","√","","null","5%-Damped Pseudo Spectral Acceleration at Period T=9.500 s (g)"
"TEPT","Table","TEPT_BASE","FLOAT","12","√","","null","Depth to the base of pit in m"
"TEPT","Table","TEPT_CREW","VARCHAR","100","√","","null","Name of logger / organization"
"TEPT","Table","TEPT_ENDD","DATETIME","19","√","","null","End date of activity"
"TEPT","Table","TEPT_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the TEPT table"
"TEPT","Table","TEPT_METH","VARCHAR","100","√","","null","Digging method"
"TEPT","Table","TEPT_REM","VARCHAR","1000","√","","null","Remarks"
"TEPT","Table","TEPT_STAR","DATETIME","19","√","","null","Start date of activity"
"TESC","Table","TESC_COM","VARCHAR","1000","√","","null","Comment to Test"
"TESC","Table","TESC_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the TESC table"
"TESF","Table","TESF_DESC","VARCHAR","1000","√","","null","Detailed description of the associated file (e.g., original data, profile image)"
"TESF","Table","TESF_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the TESF table"
"TESI","Table","TESI_ID","INT UNSIGNED","10","","√","null",""
"CRET","Table","TESM_ID","INT UNSIGNED","10","√","","null",""
"TESM","Table","TESM_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the TESM table"
"TESP","Table","TESP_ID","INT UNSIGNED","10","","√","null",""
"TESR","Table","TESR_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the TESR table"
"TESI","Table","TEST2_ID","INT UNSIGNED","10","√","","null",""
"TESP","Table","TEST_ID","INT UNSIGNED","10","√","","null",""
"TESF","Table","TEST_ID","INT UNSIGNED","10","√","","null",""
"TESC","Table","TEST_ID","INT UNSIGNED","10","√","","null",""
"TESR","Table","TEST_ID","INT UNSIGNED","10","√","","null",""
"GSWG","Table","TEST_ID","INT UNSIGNED","10","√","","null",""
"TEPT","Table","TEST_ID","INT UNSIGNED","10","√","","null",""
"OTHF","Table","TEST_ID","INT UNSIGNED","10","√","","null",""
"GINV","Table","TEST_ID","INT UNSIGNED","10","√","","null",""
"TEST","Table","TEST_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the TEST table"
"WATR","Table","TEST_ID","INT UNSIGNED","10","√","","null",""
"DETL","Table","TEST_ID","INT UNSIGNED","10","√","","null",""
"STRA","Table","TEST_ID","INT UNSIGNED","10","√","","null",""
"SCPG","Table","TEST_ID","INT UNSIGNED","10","√","","null",""
"BORH","Table","TEST_ID","INT UNSIGNED","10","√","","null",""
"SAMP_TEST","Table","TEST_ID","INT UNSIGNED","10","√","","null","Test table ID"
"TESM","Table","TEST_ID","INT UNSIGNED","10","√","","null",""
"TEST","Table","TEST_LAT","DOUBLE","22","√","","null","Latitude of activity in decimal degree following WGS84 system"
"TEST","Table","TEST_LON","DOUBLE","22","√","","null","Longitude of activity in decimal degree following WGS84 system"
"TEST","Table","TEST_NAME","VARCHAR","64","√","","null","Test name"
"TEST","Table","TEST_REM","VARCHAR","1000","√","","null","Remarks"
"TEST","Table","TEST_REVW","TINYINT","3","√","","null","Review status (1 = reviewed / 0 = not reviewed)"
"TEST","Table","TEST_STAT","TINYINT","3","√","","null","Upload status (1 = submitted / 0 = not submitted)"
"TEST","Table","TEST_TYPE","VARCHAR","4","√","","null","Test type (i.e., Boring: BORH; Cone penetration testing: SCPG; Test pit: TEPT; Geophysical testing using surface wave: GSWG; Invasive geophysical testing: GINV)"
"TXD","Table","TXD_CP","FLOAT","12","√","","null","Cell Pressure in kPa"
"TXD","Table","TXD_EA","FLOAT","12","√","","null","Axial Strain in percent"
"TXD","Table","TXD_ER","FLOAT","12","√","","null","Radial Strain in percent"
"TXD","Table","TXD_EV","FLOAT","12","√","","null","Volumetric Strain in percent"
"TXD","Table","TXD_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the TXD table"
"TXD","Table","TXD_PP","FLOAT","12","√","","null","Pore Pressure in kPa"
"TXD","Table","TXD_SD","FLOAT","12","√","","null","Deviator Stress in kPa"
"TXD","Table","TXD_TIME","FLOAT","12","√","","null","Time in sec"
"TXG","Table","TXG_B","FLOAT","12","√","","null","Measured B value"
"TXG","Table","TXG_BSTG","INT","10","√","","null","Stage Number that occurred immediately after the B value test"
"TXG","Table","TXG_DESC","VARCHAR","1000","√","","null","Description"
"TXG","Table","TXG_DIAM","FLOAT","12","√","","null","Specimen diameter in cm"
"TXG","Table","TXG_E0","FLOAT","12","√","","null","Initial void ratio"
"TXG","Table","TXG_H0","FLOAT","12","√","","null","Specimen initial height in cm"
"TXG","Table","TXG_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the TXG table"
"TXS","Table","TXG_ID","INT UNSIGNED","10","√","","null",""
"TXG","Table","TXG_W0","FLOAT","12","√","","null","Initial water content"
"TXS","Table","TXS_DESC","VARCHAR","1000","√","","null","Description"
"TXS","Table","TXS_DR","BIT","1","√","","null","Is the stage drained or undrained?"
"TXD","Table","TXS_ID","INT UNSIGNED","10","√","","null",""
"TXS","Table","TXS_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the TXS table"
"TXS","Table","TXS_ST","INT","10","√","","null","Stage Number"
"TXS","Table","TXS_TY","INT","10","√","","null","Type of stage (i.e. Consolidation, Monotonic Loading, Cyclic Loading"
"SEGM","Table","ULC_DEPTH","FLOAT","12","√","","null","Depth of the Upper Left Corner (ULC) (km)"
"SEGM","Table","ULC_LAT","DOUBLE","22","√","","null","Latitude of the Upper Left Corner (ULC) (deg)"
"SEGM","Table","ULC_LON","DOUBLE","22","√","","null","Longitude of the Upper Left Corner (ULC)  (deg)"
"SITM","Table","USER_ID","INT UNSIGNED","10","√","","null",""
"PERM","Table","USER_ID","INT UNSIGNED","10","√","","null",""
"OBSM","Table","USER_ID","INT UNSIGNED","10","√","","null",""
"SAMP_LAB","Table","USER_ID","INT UNSIGNED","10","√","","null","User table"
"USER","Table","USER_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the USER table"
"OBSC","Table","USER_ID","INT UNSIGNED","10","√","","null",""
"SITR","Table","USER_ID","INT UNSIGNED","10","√","","null",""
"TESR","Table","USER_ID","INT UNSIGNED","10","√","","null",""
"TESC","Table","USER_ID","INT UNSIGNED","10","√","","null",""
"TESM","Table","USER_ID","INT UNSIGNED","10","√","","null",""
"password_resets","Table","user_id","VARCHAR","255","","","null",""
"LAB","Table","USER_ID","INT UNSIGNED","10","√","","null",""
"SITC","Table","USER_ID","INT UNSIGNED","10","√","","null",""
"OBSR","Table","USER_ID","INT UNSIGNED","10","√","","null",""
"USER","Table","user_name","VARCHAR","30","√","","null","User name"
"USER","Table","user_pass","VARCHAR","100","√","","null","Password (encrypted)"
"phinxlog","Table","version","BIGINT","19","","","null","Unique ID (primary key) for entries in the phinxlog table"
"WATR","Table","WATR_DATE","DATETIME","19","√","","null","Date of ground water table measurement"
"WATR","Table","WATR_DPTH","FLOAT","12","√","","null","Depth to ground water table from surface in m"
"WATR","Table","WATR_ID","INT UNSIGNED","10","","√","null","Unique ID (primary key) for entries in the WATR table"
"WATR","Table","WATR_REM","VARCHAR","1000","√","","null","Remarks"
"USER","Table","zip","VARCHAR","10","√","","null","Postal code"
